,S&P500,GDP_nominal,GDP_real,GDP_real_percap,CPI,CPI_lessFoodEnergy,PersonalConsump,UnemployRate,UnemployLevel,3mthInt,10yrInt
2011-12-31,125.5,15842.259,17222.583,54979.0,227.223,2.045078,10817.8,8.5,13093.0,0.02,1.89
2012-03-31,140.81,16068.805,17367.01,55342.0,228.807,2.122799,10993.9,8.2,12713.0,0.07,2.23
2012-06-30,136.1,16207.115,17444.525,55490.0,228.524,2.238927,10989.8,8.2,12692.0,0.09,1.67
2012-09-30,143.97,16319.541,17469.65,55454.0,231.015,2.219253,11105.3,7.8,12115.0,0.1,1.65
2012-12-31,142.41,16420.419,17489.852,55403.0,231.221,2.107127,11181.2,7.9,12298.0,0.05,1.78
2013-03-31,156.67,16648.189,17662.4,55859.0,232.282,2.096923,11290.1,7.5,11689.0,0.07,1.87
2013-06-30,160.42,16728.687,17709.671,55914.0,232.445,1.874046,11344.4,7.5,11751.0,0.04,2.52
2013-09-30,168.01,16953.838,17860.45,56272.0,233.544,1.888205,11445.9,7.2,11270.0,0.02,2.64
2013-12-31,184.69,17192.019,18016.147,56642.0,234.719,1.872378,11593.2,6.7,10404.0,0.07,3.04
2014-03-31,187.01,17197.738,17953.974,56345.0,236.028,1.821445,11722.3,6.7,10380.0,0.05,2.73
2014-06-30,195.72,17518.508,18185.911,56968.0,237.231,2.142724,11861.7,6.1,9460.0,0.04,2.53
2014-09-30,197.02,17804.228,18406.941,57536.0,237.477,1.95017,11991.4,5.9,9262.0,0.02,2.52
2014-12-31,205.54,17912.079,18500.031,57702.0,236.252,1.961226,12096.1,5.6,8717.0,0.04,2.17
2015-03-31,206.43,18063.529,18666.621,58121.0,235.976,1.989606,12176.1,5.4,8515.0,0.03,1.94
2015-06-30,205.89,18279.784,18782.243,58376.0,237.657,2.103732,12307.9,5.3,8247.0,0.01,2.35
2015-09-30,191.59,18401.626,18857.418,58486.0,237.498,2.268536,12386.4,5.0,7907.0,-0.01,2.06
2015-12-31,203.87,18435.137,18892.206,58470.0,237.761,2.437497,12452.0,5.0,7907.0,0.16,2.27
2016-03-31,205.52,18525.933,19001.69,58704.0,238.08,2.526214,12537.0,5.0,7961.0,0.21,1.78
2016-06-30,209.48,18711.702,19062.709,58787.0,240.222,2.563629,12731.2,4.9,7744.0,0.26,1.49
2016-09-30,216.3,18892.639,19197.938,59084.0,241.176,2.624799,12846.6,5.0,7953.0,0.28,1.6
2016-12-31,223.53,19089.379,19304.352,59296.0,242.637,2.585286,13005.9,4.7,7521.0,0.5,2.45
2017-03-31,235.74,19280.084,19398.343,59494.0,243.892,2.436586,13139.9,4.4,7073.0,0.75,2.4
2017-06-30,241.8,19438.643,19506.949,59736.0,244.163,2.122109,13225.2,4.3,6873.0,1.01,2.31
2017-09-30,251.23,19692.595,19660.766,60099.0,246.435,2.091354,13417.3,4.3,6854.0,1.04,2.33
2017-12-31,266.86,20037.088,19882.352,60674.0,247.805,2.117186,13666.1,4.1,6632.0,1.37,2.4
2018-03-31,263.15,20328.553,20044.077,61093.0,249.577,2.366925,13793.2,4.0,6472.0,1.7,2.74
2018-06-30,271.28,20580.912,20150.476,61336.0,251.018,2.551897,13930.4,4.0,6447.0,1.89,2.85
2018-09-30,290.72,20798.73,20276.154,61622.0,252.182,2.462881,14017.8,3.7,6073.0,2.15,3.05
2018-12-31,249.92,20917.867,20304.874,61619.0,252.767,2.456173,14051.6,3.9,6389.0,2.4,2.69
2019-03-31,282.48,21111.6,20431.641,61939.0,254.277,2.356946,14240.1,3.8,6202.0,2.35,2.41
2019-06-30,293.0,21397.938,20602.275,62385.0,255.213,2.392597,14391.2,3.6,5935.0,2.08,2.0
2019-09-30,296.77,21717.171,20843.322,63022.0,256.43,2.622934,14555.6,3.5,5753.0,1.84,1.68
2019-12-31,321.86,21933.217,20985.448,63360.0,258.63,2.752609,14741.3,3.6,5853.0,1.52,1.92
2020-03-31,257.75,21727.657,20693.238,62416.0,258.15,2.606553,13793.0,4.4,7209.0,0.11,0.7
2020-06-30,308.36,19935.444,19056.617,57449.0,257.004,1.993544,14027.1,11.0,17658.0,0.16,0.66
2020-09-30,334.89,21684.551,20548.793,61915.0,259.951,1.980283,14655.0,7.8,12573.0,0.1,0.69
2020-12-31,373.88,22068.767,20771.691,62554.0,262.005,1.600671,14801.8,6.7,10772.0,0.09,0.93
2021-03-31,396.33,22656.793,21058.379,63428.0,264.91,1.592366,15657.6,6.1,9734.0,0.03,1.74
2021-06-30,428.06,23368.861,21389.005,64392.0,270.664,2.558145,16108.5,5.9,9547.0,0.05,1.45
2021-09-30,429.14,23921.991,21571.421,64877.0,273.887,2.610662,16398.9,4.7,7659.0,0.04,1.52
2021-12-31,474.96,24777.038,21960.388,65986.0,280.808,3.456458,16799.2,3.9,6305.0,0.06,1.52
2022-03-31,451.64,25215.491,21903.85,65779.0,287.553,4.534344,17203.6,3.6,5993.0,0.51,2.32
2022-06-30,377.25,25805.791,21919.222,65760.0,294.996,5.39633,17550.0,3.6,5984.0,1.66,2.98
