Report Date,Revenue,ebitda,Net Income (Common)
2011-12-31,2547000000.0,1697915808.0,1029000000.0
2012-03-31,2578000000.0,1685992129.0,1292000000.0
2012-06-30,2565000000.0,1574443924.0,-1831211579.0
2012-09-30,2731000000.0,1610943907.0,1662000000.0
2012-12-31,2846000000.0,1892106782.0,1293000000.0
2013-03-31,2958000000.0,1957968719.0,1270000000.0
2013-06-30,3001000000.0,1929063608.0,1225000000.0
2013-09-30,2973000000.0,1856803240.0,1192000000.0
2013-12-31,3155000000.0,2184229797.0,1407000000.0
2014-03-31,3163000000.0,2154971669.0,1598000000.0
2014-06-30,3155000000.0,2129260617.0,1360000000.0
2014-09-30,3229000000.0,2114981414.0,1073000000.0
2014-12-31,3382000000.0,2358248557.0,1569000000.0
2015-03-31,3409000000.0,2406126711.0,1550000000.0
2015-06-30,3518000000.0,2391781108.0,1697000000.0
2015-09-30,3571000000.0,2401974553.0,1512000000.0
2015-12-31,3565000000.0,2515806130.0,1941000000.0
2016-03-31,3626000000.0,2555035763.0,1707000000.0
2016-06-30,3630000000.0,2425267786.0,412000000.0
2016-09-30,4261000000.0,2766347075.0,1931000000.0
2016-12-31,4461000000.0,3245813372.0,2070000000.0
2017-03-31,4477000000.0,2938872720.0,430000000.0
2017-06-30,4565000000.0,3155765508.0,2059000000.0
2017-09-30,4855000000.0,3358698446.0,2140000000.0
2017-12-31,4862000000.0,3471964667.0,2522000000.0
2018-03-31,5073000000.0,3489329681.0,2605000000.0
2018-06-30,5240000000.0,3632844411.0,2329000000.0
2018-09-30,5434000000.0,3568754012.0,2845000000.0
2018-12-31,5506000000.0,3876332533.0,2977000000.0
2019-03-31,5494000000.0,3800735499.0,2977000000.0
2019-06-30,5840000000.0,4073194942.0,3101000000.0
2019-09-30,6137000000.0,4306573174.0,3025000000.0
2019-12-31,6054000000.0,4378546519.0,3272000000.0
2020-03-31,5854000000.0,4123842896.0,3084000000.0
2020-06-30,4837000000.0,3197000000.0,2373000000.0
2020-09-30,5101000000.0,3335030483.0,2137000000.0
2020-12-31,5687000000.0,4042000000.0,3126000000.0
2021-03-31,5729000000.0,3785000000.0,3026000000.0
2021-06-30,6130000000.0,4266000000.0,2575000000.0
2021-09-30,6559000000.0,4508834784.0,3584000000.0
2021-12-31,7059000000.0,5312000000.0,3959000000.0
2022-03-31,7189000000.0,5199000000.0,3647000000.0
2022-06-30,7275000000.0,5273000000.0,3411000000.0
2022-09-30,7787000000.0,5501000000.0,3940000000.0
2022-12-31,7936000000.0,5836000000.0,4179000000.0
2023-03-31,7985000000.0,5749000000.0,4257000000.0
2023-06-30,8123000000.0,5898000000.0,4156000000.0
2023-09-30,8609000000.0,6123000000.0,4681000000.0
2023-12-31,8634000000.0,6391000000.0,4890000000.0
2024-03-31,8775000000.0,6222000000.0,4663000000.0
2024-06-30,8900000000.0,6415000000.0,4872000000.0
