Report Date,Cards_All_Worldwide,Cash trans_All_Worldwide,Cash vol_All_Worldwide,GDV_All_Worldwide,Purch trans_All_Worldwide,Purch vol_All_Worldwide
2011-12-31,1034,1391,217,864,9491,648
2012-03-31,1052,1425,222,851,9286,629
2012-06-30,1072,1541,232,893,9900,661
2012-09-30,1098,1603,243,919,10150,676
2012-12-31,1131,1685,262,989,10751,727
2013-03-31,1168,1680,258,947,10252,690
2013-06-30,1201,1825,275,1009,11203,734
2013-09-30,1238,1913,284,1046,11735,763
2013-12-31,1281,1997,301,1105,12159,805
2014-03-31,1299,1999,286,1044,11694,758
2014-06-30,1333,2141,303,1125,12755,821
2014-09-30,1377,2237,314,1157,13182,843
2014-12-31,1412,2308,315,1174,13902,859
2015-03-31,1441,2237,282,1065,13464,783
2015-06-30,1477,2400,301,1143,14712,842
2015-09-30,1519,2508,307,1159,15335,852
2015-12-31,1524.0,2625.0,318.0,1201.0,16174.0,883.0
2016-03-31,1557.0,2598.0,307.0,1143.0,15827.0,836.0
2016-06-30,1584.0,2769.0,333.0,1230.0,16963.0,897.0
2016-09-30,1608.0,2819.0,338.0,1219.0,16856.0,881.0
2016-12-31,1651.0,2809.0,331.0,1230.0,17577.0,898.0
2017-03-31,1687.0,2712.0,320.0,1182.0,17089.0,863.0
2017-06-30,1726.0,2911.0,353.0,1285.0,18649.0,932.0
2017-09-30,1778.0,2964.0,373.0,1355.0,19516.0,982.0
2017-12-31,1825.0,3073.0,383.0,1420.0,20542.0,1038.0
2018-03-31,1837.0,2986.0,376.0,1404.0,20192.0,1028.0
2018-06-30,1878.0,3180.0,388.0,1471.0,22230.0,1083.0
2018-09-30,1931.0,3212.0,386.0,1469.0,23130.0,1082.0
2018-12-31,1999.0,3358.0,403.0,1549.0,24736.0,1146.0
2019-03-31,2049.0,3256.0,391.0,1483.0,23930.0,1091.0
2019-06-30,2093.0,3485.0,421.0,1601.0,26820.0,1181.0
2019-09-30,2139.0,3564.0,435.0,1653.0,28191.0,1219.0
2019-12-31,2172.0,3675.0,455.0,1731.0,29428.0,1277.0
2020-03-31,2212.0,3370.0,414.0,1565.0,27455.0,1150.0
2020-06-30,2229.0,2696.0,346.0,1383.0,24802.0,1037.0
2020-09-30,2275.0,3212.0,412.0,1648.0,29809.0,1236.0
2020-12-31,2334.0,3240.0,426.0,1747.0,30973.0,1321.0
2021-03-31,2390.0,3114.0,415.0,1711.0,30085.0,1296.0
2021-06-30,2449.0,3217.0,439.0,1904.0,34121.0,1466.0
2021-09-30,2503.0,3339.0,450.0,1993.0,36790.0,1543.0
2021-12-31,2588.0,3431.0,458.0,2113.0,38898.0,1655.0
2022-03-31,2517.0,3103.0,402.0,1919.0,33756.0,1517.0
2022-06-30,2589.0,3182.0,404.0,2054.0,36554.0,1650.0
2022-09-30,2662.0,3244.0,400.0,2069.0,38929.0,1669.0
2022-12-31,2731.0,3258.0,406.0,2133.0,40248.0,1727.0
2023-03-31,2769.0,3090.0,401.0,2108.0,38814.0,1707.0
2023-06-30,2834.0,3237.0,428.0,2267.0,42371.0,1839.0
2023-09-30,2882.0,3244.0,426.0,2305.0,44073.0,1880.0
2023-12-31,2944.0,3245.0,432.0,2352.0,45307.0,1920.0
2024-03-31,3006.0,3113.0,421.0,2290.0,43977.0,1869.0
2024-06-30,3054.0,3213.0,430.0,2403.0,47382.0,1973.0
