Report Date,Revenue,ebitda,Net Income (Common)
2011-12-31,1728000000.0,41997517.0,19000000.0
2012-03-31,1758000000.0,1054000000.0,682000000.0
2012-06-30,1820000000.0,1050000000.0,700000000.0
2012-09-30,1918000000.0,1122000000.0,772000000.0
2012-12-31,1895000000.0,961000000.0,605000000.0
2013-03-31,1906000000.0,1169000000.0,766000000.0
2013-06-30,2096000000.0,1289000000.0,848000000.0
2013-09-30,2218000000.0,1312000000.0,879000000.0
2013-12-31,2092000000.0,1086000000.0,623000000.0
2014-03-31,2172000000.0,1358000000.0,870000000.0
2014-06-30,2368000000.0,1464000000.0,931000000.0
2014-09-30,2490000000.0,1503000000.0,1015000000.0
2014-12-31,2411000000.0,1102000000.0,801000000.0
2015-03-31,2230000000.0,1347368741.0,1020000000.0
2015-06-30,2390000000.0,1404000000.0,921000000.0
2015-09-30,2530000000.0,1463000000.0,977000000.0
2015-12-31,2517000000.0,1200000000.0,890000000.0
2016-03-31,2446000000.0,1443000000.0,959000000.0
2016-06-30,2694000000.0,1580000000.0,983000000.0
2016-09-30,2880000000.0,1763000000.0,1184000000.0
2016-12-31,2756000000.0,1465000000.0,933000000.0
2017-03-31,2734000000.0,1613000000.0,1081000000.0
2017-06-30,3053000000.0,1764000000.0,1177000000.0
2017-09-30,3398000000.0,2059000000.0,1430000000.0
2017-12-31,3312000000.0,1638000000.0,227000000.0
2018-03-31,3580000000.0,2062000000.0,1492000000.0
2018-06-30,3665000000.0,2276000000.0,1569000000.0
2018-09-30,3898000000.0,2427000000.0,1899000000.0
2018-12-31,3807000000.0,2104000000.0,899000000.0
2019-03-31,3889000000.0,2330000000.0,1862000000.0
2019-06-30,4113000000.0,2519000000.0,2048000000.0
2019-09-30,4467000000.0,2792000000.0,2108000000.0
2019-12-31,4414000000.0,2545000000.0,2100000000.0
2020-03-31,4009000000.0,2361000000.0,1693000000.0
2020-06-30,3335000000.0,1874000000.0,1420000000.0
2020-09-30,3837000000.0,2246000000.0,1513000000.0
2020-12-31,4120000000.0,2253000000.0,1785000000.0
2021-03-31,4155000000.0,2360000000.0,1828000000.0
2021-06-30,4528000000.0,2594000000.0,2066000000.0
2021-09-30,4985000000.0,2932000000.0,2414000000.0
2021-12-31,5216000000.0,3016000000.0,2379000000.0
2022-03-31,5167000000.0,3142000000.0,2631000000.0
2022-06-30,5497000000.0,3340000000.0,2275000000.0
2022-09-30,5756000000.0,3505000000.0,2499000000.0
2022-12-31,5817000000.0,3383000000.0,2525000000.0
2023-03-31,5748000000.0,3538000000.0,2361000000.0
2023-06-30,6269000000.0,3868000000.0,2845000000.0
2023-09-30,6533000000.0,4055000000.0,3198000000.0
2023-12-31,6548000000.0,3885000000.0,2791000000.0
2024-03-31,6348000000.0,3946000000.0,3011000000.0
2024-06-30,6961000000.0,4359000000.0,3258000000.0
