Report Date,Cards,Cash_trans,Cash_vol,GDV,Purch_trans,Purch_vol
2011-12-31,2011,3574,595,1588,16768,993
2012-03-31,2025,3495,584,1541,16134,958
2012-06-30,2016,3578,591,1570,16349,979
2012-09-30,2066,3617,608,1615,16951,1007
2012-12-31,2111,3802,649,1723,17756,1075
2013-03-31,2134,3607,623,1649,17132,1025
2013-06-30,2159,3856,650,1739,18486,1089
2013-09-30,2179,3912,640,1745,19028,1104
2013-12-31,2219,4038,674,1838,19613,1164
2014-03-31,2253,3854,622,1730,18887,1108
2014-06-30,2298,4071,654,1845,20465,1191
2014-09-30,2341,4143,667,1884,20923,1217
2014-12-31,2402,4243,654,1899,21765,1245
2015-03-31,2420,4051,583,1751,21044,1168
2015-06-30,2442,4232,602,1855,22709,1253
2015-09-30,2459,4305,584,1848,23643,1265
2015-12-31,2483.0,4360.0,586,1890.0,24620.0,1306.0
2016-03-31,2510.0,4198.0,541.0,1793.0,24010.0,1252.0
2016-06-30,3086.0,5795.0,759.0,2586.0,35313.0,1828.0
2016-09-30,3086.0,5804.0,763.0,2622.0,36091.0,1859.0
2016-12-31,3143.0,5476.0,720.0,2525.0,35405.0,1805.0
2017-03-31,3158.0,5158.0,684.0,2420.0,34186.0,1736.0
2017-06-30,3191.0,5429.0,734.0,2599.0,36786.0,1862.0
2017-09-30,3213.0,5394.0,747.0,2677.0,37686.0,1931.0
2017-12-31,3250.0,5500.0,762.0,2813.0,39320.0,2051.0
2018-03-31,3267.0,5320.0,737.0,2755.0,38048.0,2019.0
2018-06-30,3276.0,5525.0,742.0,2868.0,41207.0,2126.0
2018-09-30,3347.0,5523.0,723.0,2835.0,42469.0,2112.0
2018-12-31,3357.0,5582.0,729.0,2926.0,44380.0,2196.0
2019-03-31,3375.0,5134.0,678.0,2761.0,42207.0,2084.0
2019-06-30,3400.0,5400.0,705.0,2936.0,46219.0,2231.0
2019-09-30,3380.0,5418.0,713.0,2983.0,47838.0,2270.0
2019-12-31,3478.0,5474.0,719.0,3080.0,49288.0,2361.0
2020-03-31,3469.0,4986.0,645.0,2786.0,45709.0,2141.0
2020-06-30,3493.0,3756.0,541.0,2494.0,40679.0,1953.0
2020-09-30,3505.0,4467.0,647.0,2995.0,49649.0,2349.0
2020-12-31,3592.0,4493.0,641.0,3114.0,51455.0,2473.0
2021-03-31,3642.0,4227.0,620.0,3043.0,50651.0,2423.0
2021-06-30,3713.0,4352.0,654.0,3373.0,55203.0,2719.0
2021-09-30,3834.0,4556.0,678.0,3461.0,58888.0,2783.0
2021-12-31,3922.0,4524.0,665.0,3630.0,62296.0,2966.0
2022-03-31,3924.0,4189.0,609.0,3384.0,57121.0,2775.0
2022-06-30,4053.0,4316.0,614.0,3553.0,59611.0,2939.0
2022-09-30,4121.0,4362.0,606.0,3535.0,61868.0,2929.0
2022-12-31,4227.0,4413.0,616.0,3630.0,63297.0,3014.0
2023-03-31,4201.0,4172.0,596.0,3551.0,60940.0,2955.0
2023-06-30,4260.0,4314.0,633.0,3799.0,66110.0,3166.0
2023-09-30,4320.0,4313.0,628.0,3824.0,68441.0,3196.0
2023-12-31,4434.0,4318.0,634.0,3910.0,70268.0,3276.0
2024-03-31,4549.0,4159.0,607.0,3780.0,67922.0,3173.0
2024-06-30,4609,4320.0,624.0,3949.0,72655.0,3325.0
